point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,萧山方言研究
XH02,萧山城厢,太湖片-临绍小片,,,模,Ø,糊,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,Ø,蝴,,,
XH02,萧山城厢,太湖片-临绍小片,,,模,Ø,瑚,,,
XH02,萧山城厢,太湖片-临绍小片,,,模,Ø,户,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,Ø,沪,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,Ø,互,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,Ø,护,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,Ø,瓠,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,Ø,糊,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,Ø,乌,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,Ø,污,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,Ø,坞,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,Ø,恶,o,可～,
XH02,萧山城厢,太湖片-临绍小片,,,豪,P,褒,io/ɒ,白读/文读,
XH02,萧山城厢,太湖片-临绍小片,,,豪,P,保,ɒ,,
XH02,萧山城厢,太湖片-临绍小片,,,豪,P,堡,ɒ,,
XH02,萧山城厢,太湖片-临绍小片,,,豪,P,宝,ɒ,,
XH02,萧山城厢,太湖片-临绍小片,,,豪,P,报,ɒ,,
XH02,萧山城厢,太湖片-临绍小片,,,豪,P,袍,ɒ,,
XH02,萧山城厢,太湖片-临绍小片,,,豪,P,抱,ɒ,,
XH02,萧山城厢,太湖片-临绍小片,,,豪,P,暴,ɒ,,
XH02,萧山城厢,太湖片-临绍小片,,,豪,P,菢,,,
XH02,萧山城厢,太湖片-临绍小片,,,豪,M,毛,ɒ,,
XH02,萧山城厢,太湖片-临绍小片,,,豪,M,冒,ɒ,,
XH02,萧山城厢,太湖片-临绍小片,,,豪,M,帽,ɒ,,
XH02,萧山城厢,太湖片-临绍小片,,,豪,M,瑁,,,
XH02,萧山城厢,太湖片-临绍小片,,,豪,T,刀,ɒ,,
XH02,萧山城厢,太湖片-临绍小片,,,豪,T,叨,,,
XH02,萧山城厢,太湖片-临绍小片,,,豪,T,祷,ɒ,,
XH02,萧山城厢,太湖片-临绍小片,,,豪,T,岛,ɒ,,
XH02,萧山城厢,太湖片-临绍小片,,,豪,T,倒,ɒ,,
