point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,汪平1996
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,K,故,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,K,固,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,K,锢,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,K,雇,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,K,顾,,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,K,枯,,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,K,苦,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,K,库,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,K,裤,əu,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,K,吴,əu,文读,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,K,蜈,,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,K,吾,əu,书面语,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,K,梧,,,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,K,五,əu,～人坟,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,K,伍,əu,姓,
SZ01,苏州城区,太湖片-苏沪嘉小片,,,模,K,午,əu,文读,
