point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,俞光中1988
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,泰,Ø,绘,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,泰,Ø,烩,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,肴,P,包,ɔ,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,肴,P,胞,ɔ,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,肴,P,苞,ɔ,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,肴,P,饱,ɔ,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,肴,P,豹,ɔ,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,肴,P,爆,ɔ,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,肴,P,泡,ɔ,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,肴,P,抛,ɔ,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,肴,P,脬,ɔ,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,肴,P,炮,ɔ,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,肴,P,泡,ɔ,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,肴,P,跑,ɔ,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,肴,P,刨,ɔ,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,肴,P,匏,ɔ,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,肴,P,麅,ɔ,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,肴,P,鲍,ɔ,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,肴,P,鉋,ɔ,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,肴,M,茅,ɔ,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,肴,M,猫,ɔ,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,肴,M,锚,ɔ,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,肴,M,卯,ɔ,,
