point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,吕叔湘1993
DY01,丹阳,太湖片-毗陵小片,,,模,K,古,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,K,估,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,K,盬,,,
DY01,丹阳,太湖片-毗陵小片,,,模,K,牯,,,
DY01,丹阳,太湖片-毗陵小片,,,模,K,股,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,K,鼓,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,K,蛊,,,
DY01,丹阳,太湖片-毗陵小片,,,模,K,故,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,K,固,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,K,锢,,,
DY01,丹阳,太湖片-毗陵小片,,,模,K,雇,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,K,顾,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,K,枯,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,K,苦,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,K,库,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,K,裤,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,K,吴,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,K,蜈,,,
DY01,丹阳,太湖片-毗陵小片,,,模,K,吾,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,K,梧,,,
DY01,丹阳,太湖片-毗陵小片,,,模,K,五,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,K,伍,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,K,午,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,K,忤,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,K,误,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,K,悟,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,Ø,呼,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,Ø,虎,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,Ø,浒,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,Ø,琥,,,
DY01,丹阳,太湖片-毗陵小片,,,模,Ø,戽,,,
DY01,丹阳,太湖片-毗陵小片,,,模,Ø,胡,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,Ø,湖,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,Ø,狐,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,Ø,壶,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,Ø,乎,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,Ø,瓠,,,
DY01,丹阳,太湖片-毗陵小片,,,模,Ø,鬍,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,Ø,糊,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,Ø,蝴,,,
DY01,丹阳,太湖片-毗陵小片,,,模,Ø,瑚,,,
DY01,丹阳,太湖片-毗陵小片,,,模,Ø,户,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,Ø,沪,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,Ø,互,,,
DY01,丹阳,太湖片-毗陵小片,,,模,Ø,护,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,Ø,瓠,,,
DY01,丹阳,太湖片-毗陵小片,,,模,Ø,糊,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,Ø,乌,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,Ø,污,u,,
DY01,丹阳,太湖片-毗陵小片,,,模,Ø,坞,,,
DY01,丹阳,太湖片-毗陵小片,,,模,Ø,恶,u,可～,
DY01,丹阳,太湖片-毗陵小片,,,豪,P,褒,,,
DY01,丹阳,太湖片-毗陵小片,,,豪,P,保,ɔ,,
DY01,丹阳,太湖片-毗陵小片,,,豪,P,堡,ɔ,,
DY01,丹阳,太湖片-毗陵小片,,,豪,P,宝,ɔ,,
DY01,丹阳,太湖片-毗陵小片,,,豪,P,报,ɔ,,
DY01,丹阳,太湖片-毗陵小片,,,豪,P,袍,ɔ,,
DY01,丹阳,太湖片-毗陵小片,,,豪,P,抱,ɔ,,
DY01,丹阳,太湖片-毗陵小片,,,豪,P,暴,ɔ,,
DY01,丹阳,太湖片-毗陵小片,,,豪,P,菢,,,
DY01,丹阳,太湖片-毗陵小片,,,豪,M,毛,ɔ,,
DY01,丹阳,太湖片-毗陵小片,,,豪,M,冒,ɔ,,
DY01,丹阳,太湖片-毗陵小片,,,豪,M,帽,ɔ,,
DY01,丹阳,太湖片-毗陵小片,,,豪,M,瑁,,,
DY01,丹阳,太湖片-毗陵小片,,,豪,T,刀,ɔ,,
DY01,丹阳,太湖片-毗陵小片,,,豪,T,叨,,,
DY01,丹阳,太湖片-毗陵小片,,,豪,T,祷,ɔ,,
DY01,丹阳,太湖片-毗陵小片,,,豪,T,岛,ɔ,,
DY01,丹阳,太湖片-毗陵小片,,,豪,T,倒,ɔ,,
DY01,丹阳,太湖片-毗陵小片,,,豪,T,捣,ɔ,,
