point_id,point_name,subbranch,chain_slot,total_tokens,eligible_tokens,clear_split_tokens,i_medial_tokens,i_offglide_tokens,non_core_diphthong_tokens,medial_pending_tokens,checked_or_coda_tokens,monophthong_tokens,point_count,value_types,clear_split_values,clear_split_rate,raw_clear_split_share,medial_pending_share,i_offglide_share,non_core_diphthong_share
TC02,太仓城厢,太湖片-苏沪嘉小片,S0,38,31,0,7,0,0,0,0,31,1,4,,0.0,0.0,0.0,0.0,0.0
TC02,太仓城厢,太湖片-苏沪嘉小片,S1,86,77,0,9,0,0,0,0,77,1,3,,0.0,0.0,0.0,0.0,0.0
TC02,太仓城厢,太湖片-苏沪嘉小片,S2,113,112,69,1,0,0,0,0,43,1,5,əu,0.6160714285714286,0.6106194690265486,0.0,0.0,0.0
TC02,太仓城厢,太湖片-苏沪嘉小片,S3,129,129,69,0,0,0,0,0,60,1,3,əu,0.5348837209302325,0.5348837209302325,0.0,0.0,0.0
TL01,桐庐镇,太湖片-临绍小片,S0,43,33,0,8,0,0,2,0,33,1,5,,0.0,0.0,0.046511627906976744,0.0,0.0
TL01,桐庐镇,太湖片-临绍小片,S1,65,8,0,5,0,0,52,0,8,1,4,,0.0,0.0,0.8,0.0,0.0
TL01,桐庐镇,太湖片-临绍小片,S2,91,87,0,0,0,0,4,0,87,1,5,,0.0,0.0,0.04395604395604396,0.0,0.0
TL01,桐庐镇,太湖片-临绍小片,S3,112,112,0,0,0,0,0,0,112,1,1,,0.0,0.0,0.0,0.0,0.0
TX01,桐乡城区,太湖片-苏沪嘉小片,S0,38,32,0,6,0,0,0,0,32,1,5,,0.0,0.0,0.0,0.0,0.0
TX01,桐乡城区,太湖片-苏沪嘉小片,S1,72,68,0,4,0,0,0,0,68,1,3,,0.0,0.0,0.0,0.0,0.0
TX01,桐乡城区,太湖片-苏沪嘉小片,S2,70,70,0,0,0,0,0,0,70,1,3,,0.0,0.0,0.0,0.0,0.0
TX01,桐乡城区,太湖片-苏沪嘉小片,S3,82,82,0,0,0,0,0,0,82,1,2,,0.0,0.0,0.0,0.0,0.0
WJ01,吴江市松陵,太湖片-苏沪嘉小片,S0,42,36,0,6,0,0,0,0,36,1,5,,0.0,0.0,0.0,0.0,0.0
WJ01,吴江市松陵,太湖片-苏沪嘉小片,S1,62,55,0,7,0,0,0,0,55,1,4,,0.0,0.0,0.0,0.0,0.0
WJ01,吴江市松陵,太湖片-苏沪嘉小片,S2,74,74,51,0,0,0,0,0,23,1,5,əu,0.6891891891891891,0.6891891891891891,0.0,0.0,0.0
WJ01,吴江市松陵,太湖片-苏沪嘉小片,S3,106,106,69,0,0,0,0,0,37,1,3,əu,0.6509433962264151,0.6509433962264151,0.0,0.0,0.0
WJ02,吴江芦墟,太湖片-苏沪嘉小片,S0,31,25,0,6,0,0,0,0,25,1,2,,0.0,0.0,0.0,0.0,0.0
WJ02,吴江芦墟,太湖片-苏沪嘉小片,S1,49,48,0,1,0,0,0,0,48,1,3,,0.0,0.0,0.0,0.0,0.0
WJ02,吴江芦墟,太湖片-苏沪嘉小片,S2,62,62,42,0,0,0,0,0,20,1,5,əu,0.6774193548387096,0.6774193548387096,0.0,0.0,0.0
WJ02,吴江芦墟,太湖片-苏沪嘉小片,S3,87,87,62,0,0,0,0,0,25,1,3,əu,0.7126436781609196,0.7126436781609196,0.0,0.0,0.0
WX01,无锡城区,太湖片-苏沪嘉小片,S0,47,38,0,9,0,0,0,0,38,1,2,,0.0,0.0,0.0,0.0,0.0
WX01,无锡城区,太湖片-苏沪嘉小片,S1,78,68,15,10,0,0,0,0,53,1,4,əɯ,0.22058823529411764,0.19230769230769232,0.0,0.0,0.0
WX01,无锡城区,太湖片-苏沪嘉小片,S2,96,95,91,0,0,0,0,1,4,1,5,əɯ,0.9578947368421052,0.9479166666666666,0.0,0.0,0.0
WX01,无锡城区,太湖片-苏沪嘉小片,S3,125,124,73,0,0,0,0,0,51,1,4,əɯ,0.5887096774193549,0.584,0.0,0.0,0.0
WX02,吴县光福镇,太湖片-苏沪嘉小片,S0,42,36,0,6,0,0,0,0,36,1,4,,0.0,0.0,0.0,0.0,0.0
WX02,吴县光福镇,太湖片-苏沪嘉小片,S1,69,60,0,9,0,0,0,0,60,1,4,,0.0,0.0,0.0,0.0,0.0
WX02,吴县光福镇,太湖片-苏沪嘉小片,S2,96,96,79,0,0,0,0,0,17,1,4,əu,0.8229166666666666,0.8229166666666666,0.0,0.0,0.0
WX02,吴县光福镇,太湖片-苏沪嘉小片,S3,120,120,96,0,0,0,0,0,24,1,3,əu,0.8,0.8,0.0,0.0,0.0
XC01,新昌城关,太湖片-临绍小片,S0,40,35,0,5,0,0,0,0,35,1,4,,0.0,0.0,0.0,0.0,0.0
XC01,新昌城关,太湖片-临绍小片,S1,57,52,0,5,0,0,0,0,52,1,4,,0.0,0.0,0.0,0.0,0.0
XC01,新昌城关,太湖片-临绍小片,S2,88,88,0,0,0,0,0,0,88,1,5,,0.0,0.0,0.0,0.0,0.0
XC01,新昌城关,太湖片-临绍小片,S3,105,105,0,0,0,0,0,0,105,1,2,,0.0,0.0,0.0,0.0,0.0
