point_id,point_name,onset_class,S0,S1,S2,S3
DY01,丹阳, P,ɑ,ɑ,ə,u
DY01,丹阳, T,,,ə,u
DY01,丹阳, Ø,ɑ,iɑ,ə,u
DY01,丹阳,TS,,ɑ,ə,u
DY01,丹阳,TS*,ɑ,ɑ,,
FC01,奉城, K,ɑ,ɑ,u,u
FC01,奉城, M,ɑ,o,o,o
FC01,奉城, N,ɑ,o,u,u
FC01,奉城, P,ɑ,o,u,u
FC01,奉城, T,,,u,u
FC01,奉城, Ø,ɑ,ɔ,u,u
FC01,奉城,TS,,o,u,u
FC01,奉城,TS*,ɑ,o,,
FH01,奉化西坞, K,a,o,əu,u
FH01,奉化西坞, M,a,o,əu,əu
FH01,奉化西坞, N,a,,əu,u
FH01,奉化西坞, P,a,o,əu,u
FH01,奉化西坞, T,,,əu,u
FH01,奉化西坞, Ø,a,o,əu,u
FH01,奉化西坞,TS,,o,əu,u
FH01,奉化西坞,TS*,a,o,,
FJ01,枫泾镇, K,ᴀ,ᴀ,əu,əu
FJ01,枫泾镇, M,ᴀ,o,u,u
FJ01,枫泾镇, N,ᴀ,ᴀ,u,u
FJ01,枫泾镇, P,ᴀ,o,u,u
FJ01,枫泾镇, T,,,u,u
FJ01,枫泾镇, Ø,ᴀ,o,u,u
FJ01,枫泾镇,TS,,o,u,u
FJ01,枫泾镇,TS*,ᴀ,o,,
FX01,奉贤, K,iɑ,ɑ,u,u
FX01,奉贤, M,ɑ,o,o,o
FX01,奉贤, N,ɑ,o,u,u
FX01,奉贤, P,ɑ,o,u,u
FX01,奉贤, T,,,u,u
FX01,奉贤, Ø,ɑ,iɑ,u,u
FX01,奉贤,TS,,o,u,u
FX01,奉贤,TS*,ɑ,o,,
FY01,富阳城关, K,a,o,ʊ,u
FY01,富阳城关, M,a,o,ʊ,ʊ
FY01,富阳城关, N,a,a,ʊ,ʊ
FY01,富阳城关, P,a,o,u,u
FY01,富阳城关, T,,,ʊ,ʊ
FY01,富阳城关, Ø,a,o,u,u
FY01,富阳城关,TS,,o,ʊ,ʊ
FY01,富阳城关,TS*,a,o,,
FY02,富阳东梓关, K,a,uo,u,u
FY02,富阳东梓关, M,a,uo,u,u
FY02,富阳东梓关, N,a,a,u,u
FY02,富阳东梓关, P,a,uo,u,u
FY02,富阳东梓关, T,,,u,u
FY02,富阳东梓关, Ø,a,uo,u,u
FY02,富阳东梓关,TS,,uo,u,u
FY02,富阳东梓关,TS*,ia,uo,,
GQ01,高桥, K,iᴀ,ᴀ,u,u
GQ01,高桥, M,ᴀ,o,u,u
GQ01,高桥, N,ᴀ,ɛ,u,u
GQ01,高桥, P,ᴀ,ᴀ,u,u
GQ01,高桥, T,,,u,u
GQ01,高桥, Ø,ᴀ,o,u,u
GQ01,高桥,TS,,o,u,u
GQ01,高桥,TS*,ᴀ,o,,
HM01,海门镇沙地话, K,ɑ,ɑ,u,u
HM01,海门镇沙地话, M,ɑ,o,u,u
HM01,海门镇沙地话, N,ɑ,ɑ,u,u
HM01,海门镇沙地话, P,ɑ,o,u,u
HM01,海门镇沙地话, T,,,u,u
HM01,海门镇沙地话, Ø,ɑ,iɑ,u,u
HM01,海门镇沙地话,TS,,o,u,u
HM01,海门镇沙地话,TS*,ɑ,o,,
HM02,海门四甲, K,ɑ,iɑ,ɤ,ɯ
HM02,海门四甲, M,ɑ,o,ɤ,ɤ
HM02,海门四甲, N,ɑ,ɑ,ɤ,ɯ
HM02,海门四甲, P,ɑ,o,ɤ,ɯ
HM02,海门四甲, T,,,ɤ,ɯ
HM02,海门四甲, Ø,ɑ,ɯo,ɤ,ɯ
HM02,海门四甲,TS,,yo,ɤ,ɯ
HM02,海门四甲,TS*,ɑ,yo,,
HN01,海宁城关, K,a,a,u,u
HN01,海宁城关, M,a,o,u,u
HN01,海宁城关, N,a,o,u,u
HN01,海宁城关, P,a,o,u,u
HN01,海宁城关, T,,,u,u
HN01,海宁城关, Ø,a,o,u,u
HN01,海宁城关,TS,,o,u,u
HN01,海宁城关,TS*,a,o,,
HY01,海盐县城, K,ɑ,ɑ,u,u
HY01,海盐县城, M,ɑ,o,o,o
HY01,海盐县城, N,ɑ,ɑ,u,u
HY01,海盐县城, P,ɑ,o,u,u
HY01,海盐县城, T,,,u,u
HY01,海盐县城, Ø,ɑ,o,u,u
HY01,海盐县城,TS,,o,u,u
HY01,海盐县城,TS*,ɑ,o,,
HZ01,杭州城区, K,iɛ,ia,o,u
HZ01,杭州城区, M,ɛ,a,o,o
HZ01,杭州城区, N,ɛ,a,o,u
HZ01,杭州城区, P,ɛ,a,o,u
HZ01,杭州城区, T,,,o,u
HZ01,杭州城区, Ø,iɛ,ia,o,u
HZ01,杭州城区,TS,,a,o,o
HZ01,杭州城区,TS*,ɛ,a,,
HZ02,湖州市区, K,a,a,əu,əu
HZ02,湖州市区, M,a,ɷ,ɷ,u
HZ02,湖州市区, N,a,a,əu,əu
HZ02,湖州市区, P,a,ɷ,u,u
HZ02,湖州市区, T,,,əu,əu
HZ02,湖州市区, Ø,a,ɷ,u,əu
