point_id,point_name,onset_class,S1,S2,S3,type,type_formula,一级分类_S1_S3,二级分类_S1_S3
TL01,桐庐镇,Ø,uo,u,u,T3,歌=模≠麻,合流型,单一合并
TX01,桐乡城区,K,a,u,u,T3,歌=模≠麻,合流型,单一合并
TX01,桐乡城区,M,a,o,o,T3,歌=模≠麻,合流型,单一合并
TX01,桐乡城区,P,o,u,u,T3,歌=模≠麻,合流型,单一合并
TX01,桐乡城区,TS,o,u,u,T3,歌=模≠麻,合流型,单一合并
TX01,桐乡城区,Ø,o,u,u,T3,歌=模≠麻,合流型,单一合并
WJ01,吴江市松陵,K,ɔ,əu,əu,T3,歌=模≠麻,合流型,单一合并
WJ01,吴江市松陵,M,o,o,o,T2,歌=麻=模,合流型,全合并
WJ01,吴江市松陵,P,o,u,u,T3,歌=模≠麻,合流型,单一合并
WJ01,吴江市松陵,TS,o,əu,əu,T3,歌=模≠麻,合流型,单一合并
WJ01,吴江市松陵,Ø,o,u,u,T3,歌=模≠麻,合流型,单一合并
WJ02,吴江芦墟,K,ɔ,əu,əu,T3,歌=模≠麻,合流型,单一合并
WJ02,吴江芦墟,M,o,o,o,T2,歌=麻=模,合流型,全合并
WJ02,吴江芦墟,P,o,u,u,T3,歌=模≠麻,合流型,单一合并
WJ02,吴江芦墟,TS,o,əu,əu,T3,歌=模≠麻,合流型,单一合并
WJ02,吴江芦墟,Ø,o,u,u,T3,歌=模≠麻,合流型,单一合并
WX01,无锡城区,K,a,əɯ,u,T1,歌≠麻≠模,分立型,分立
WX01,无锡城区,M,u,əɯ,əɯ,T3,歌=模≠麻,合流型,单一合并
WX01,无锡城区,P,u,əɯ,əɯ,T3,歌=模≠麻,合流型,单一合并
WX01,无锡城区,TS,əɯ,əɯ,əɯ,T2,歌=麻=模,合流型,全合并
WX01,无锡城区,Ø,u,əɯ,u,T5,模=麻≠歌,合流型,单一合并
