point_id,point_name,rhyme_modern,rhyme_phonetic_set
XH02,萧山城厢,模,"o, u"
XH02,萧山城厢,歌,"a, o, u"
XH02,萧山城厢,皆,"a, e, ia"
XH02,萧山城厢,麻,"a, ia, io, o"
XS01,象山丹城,佳,"a, ia, o"
XS01,象山丹城,戈,"o, u"
XS01,象山丹城,模,"o, u"
XS01,象山丹城,歌,"a, o, u"
XS01,象山丹城,皆,"a, ia, ɛ"
XS01,象山丹城,麻,"a, ia, o"
XS03,萧山南阳镇,佳,a
XS03,萧山南阳镇,戈,"o, u"
XS03,萧山南阳镇,模,"o, u"
XS03,萧山南阳镇,歌,"o, u"
XS03,萧山南阳镇,皆,"a, ia"
XS03,萧山南阳镇,麻,"a, ia, o"
XZ01,莘庄,佳,"iᴀ, o, ᴀ"
XZ01,莘庄,戈,"o, u"
XZ01,莘庄,模,"o, u"
XZ01,莘庄,歌,"o, u, ɤ, ᴀ"
XZ01,莘庄,皆,"e, iᴀ, ᴀ"
XZ01,莘庄,麻,"iᴀ, o, ɔ, ɛ, ᴀ"
YQ01,於潜,佳,"a, ia, uo"
YQ01,於潜,戈,"a, u"
YQ01,於潜,模,u
YQ01,於潜,歌,"a, o, u"
YQ01,於潜,皆,a
YQ01,於潜,麻,"a, ia, uo"
YX01,宜兴,佳,"a, ia, o, ɛ"
YX01,宜兴,戈,"au, o, oʔ, ɷ"
YX01,宜兴,模,"au, oʔ, u, ŋ, ɷ"
YX01,宜兴,歌,"au, o, ɷ"
YX01,宜兴,皆,"a, ia"
YX01,宜兴,麻,"a, io, o"
YX02, 鄞县中区,佳,"a, ia, ie, o"
YX02, 鄞县中区,戈,"o, əu"
YX02, 鄞县中区,模,"u, əu"
YX02, 鄞县中区,歌,"a, o, əu"
YX02, 鄞县中区,皆,"a, e, ie"
YX02, 鄞县中区,麻,"a, ia, o"
YY01,余姚城关,佳,"a, ia"
YY01,余姚城关,戈,"a, o, ou"
YY01,余姚城关,模,"o, ou, u, ŋ, ɥ"
YY01,余姚城关,歌,"a, o, ou"
YY01,余姚城关,皆,a
YY01,余姚城关,麻,"a, ia, io, o"
ZJ01,诸暨城关,佳,"a, ia, o"
ZJ01,诸暨城关,戈,"a, o, u, ɔi"
ZJ01,诸暨城关,模,"u, ɔi"
ZJ01,诸暨城关,歌,"a, o, ɔi"
ZJ01,诸暨城关,皆,"a, ia"
ZJ01,诸暨城关,麻,"a, ia, io, o, ɔi"
ZJ02,诸暨璜山镇,佳,"a, ia, iʊ, ʊ"
ZJ02,诸暨璜山镇,戈,ɤɯ
ZJ02,诸暨璜山镇,模,"u, ɤɯ"
ZJ02,诸暨璜山镇,歌,"a, ɤɯ, ʊ"
ZJ02,诸暨璜山镇,皆,"a, ia, ie"
ZJ02,诸暨璜山镇,麻,"a, ia, iʊ, ʊ"
ZJ03,诸暨直埠镇,佳,"a, o"
ZJ03,诸暨直埠镇,戈,"a, ou"
ZJ03,诸暨直埠镇,模,"o, ou, u"
ZJ03,诸暨直埠镇,歌,"o, ou"
ZJ03,诸暨直埠镇,皆,"a, ia"
ZJ03,诸暨直埠镇,麻,"a, ia, o"
ZP01,周浦,佳,"iᴀ, o, ᴀ"
ZP01,周浦,戈,u
ZP01,周浦,模,"o, u"
ZP01,周浦,歌,"o, u, ɤ, ᴀ"
ZP01,周浦,皆,"e, iᴀ, ᴀ"
ZP01,周浦,麻,"iɔ, iᴀ, o, ɔ, ᴀ"
ZR01,真如,佳,"iᴀ, o, ᴀ"
ZR01,真如,戈,u
ZR01,真如,模,"o, u"
ZR01,真如,歌,"u, ᴀ"
ZR01,真如,皆,"iᴀ, ᴀ"
ZR01,真如,麻,"iᴀ, o, ɔ, ᴀ"
ZS01,舟山定海,佳,"a, ia, o, ɛ"
ZS01,舟山定海,戈,"au, o, u"
ZS01,舟山定海,模,"au, u"
ZS01,舟山定海,歌,"a, au, o"
ZS01,舟山定海,皆,"a, ia"
ZS01,舟山定海,麻,"a, ia, o"
